userid,age_range,gender,metro_area
1876,18 to 24,male,HOU
1877,35 to 44,male,HOU
1878,18 to 24,prefer not to answer,DC
1879,35 to 44,female,NYC
1880,25 to 34,female,LA
1881,18 to 24,female,HOU
1882,45 to 54,male,SF
1883,25 to 34,female,SF
1884,35 to 44,female,SF
1885,45 to 54,female,None of above
1886,25 to 34,female,None of above
1887,25 to 34,female,HOU
1888,35 to 44,female,None of above
1889,55+,female,DC
1890,45 to 54,male,None of above
1891,25 to 34,female,HOU
1892,25 to 34,prefer not to answer,PHL
1893,35 to 44,male,LA
1894,45 to 54,male,NYC
1895,35 to 44,female,LA
1896,35 to 44,female,None of above
1897,18 to 24,female,LA
1898,35 to 44,prefer not to answer,LA
1899,18 to 24,prefer not to answer,SF
1900,25 to 34,female,DC
1901,18 to 24,male,DC
1902,18 to 24,female,LA
1903,35 to 44,female,None of above
1904,35 to 44,female,NYC
1905,25 to 34,female,NYC
1906,25 to 34,female,NYC
1907,25 to 34,female,SEA
1908,35 to 44,female,BOS
1909,25 to 34,male,SEA
1910,18 to 24,female,SEA
1911,25 to 34,female,LA
1912,25 to 34,female,SEA
1913,35 to 44,prefer not to answer,None of above
1914,45 to 54,prefer not to answer,LA
1915,25 to 34,male,HOU
1916,18 to 24,male,BOS
1917,45 to 54,female,SEA
1918,25 to 34,female,SEA
1919,55+,male,SF
1920,35 to 44,non-binary,HOU
1921,35 to 44,female,NYC
1922,55+,male,SF
1923,45 to 54,male,None of above
1924,25 to 34,prefer not to answer,LA
1925,35 to 44,female,SEA
1926,35 to 44,female,SF
1927,35 to 44,female,ATL
1928,25 to 34,female,NYC
1929,35 to 44,female,LA
1930,25 to 34,female,LA
1931,35 to 44,female,LA
1932,45 to 54,female,NYC
1933,25 to 34,female,LA
1934,45 to 54,male,LA
1935,45 to 54,female,SF
1936,45 to 54,female,ATL
1937,25 to 34,female,DC
1938,25 to 34,female,SEA
1939,18 to 24,female,None of above
1940,35 to 44,female,SF
1941,35 to 44,male,LA
1942,25 to 34,female,None of above
1943,25 to 34,female,DC
1944,25 to 34,male,None of above
1945,35 to 44,prefer not to answer,SF
1946,18 to 24,prefer not to answer,NYC
1947,45 to 54,female,SF
1948,25 to 34,female,LA
1949,25 to 34,prefer not to answer,HOU
1950,35 to 44,prefer not to answer,LA
1951,25 to 34,female,SF
1952,25 to 34,prefer not to answer,ATL
1953,45 to 54,prefer not to answer,PHL
1954,45 to 54,female,DC
1955,35 to 44,female,LA
1956,25 to 34,male,HOU
1957,35 to 44,male,NYC
1958,35 to 44,male,SEA
1959,18 to 24,female,SF
1960,25 to 34,female,CHI
1961,25 to 34,male,LA
1962,25 to 34,female,CHI
1963,35 to 44,male,SF
1964,25 to 34,female,LA
1965,25 to 34,male,SF
1966,35 to 44,male,LA
1967,25 to 34,female,LA
1968,35 to 44,male,SF
1969,18 to 24,prefer not to answer,NYC
1970,35 to 44,male,PHL
1971,25 to 34,prefer not to answer,LA
1972,35 to 44,prefer not to answer,None of above
1973,35 to 44,female,SEA
1974,35 to 44,female,LA
1975,25 to 34,prefer not to answer,PHL
1976,35 to 44,female,BOS
1977,45 to 54,prefer not to answer,HOU
1978,45 to 54,male,NYC
1979,25 to 34,non-binary,CHI
1980,45 to 54,female,NYC
1981,25 to 34,prefer not to answer,DC
1982,55+,female,SEA
1983,35 to 44,female,SEA
1984,18 to 24,female,SF
1985,18 to 24,prefer not to answer,LA
1986,45 to 54,male,None of above
1987,35 to 44,prefer not to answer,NYC
1988,25 to 34,female,None of above
1989,35 to 44,female,DC
1990,55+,male,SF
1991,35 to 44,male,PHL
1992,35 to 44,prefer not to answer,SF
1993,35 to 44,female,SF
1994,25 to 34,female,LA
1995,45 to 54,female,SF
1996,35 to 44,female,PHL
1997,25 to 34,male,SF
1998,35 to 44,female,None of above
1999,25 to 34,female,DC
2000,18 to 24,male,None of above
2001,25 to 34,female,HOU
2002,25 to 34,male,DC
2003,25 to 34,female,LA
2004,35 to 44,female,DC
2005,35 to 44,prefer not to answer,LA
2006,35 to 44,female,SF
2007,25 to 34,female,None of above
2008,35 to 44,prefer not to answer,None of above
2009,25 to 34,female,SEA
2010,45 to 54,prefer not to answer,PHL
2011,25 to 34,female,DC
2012,25 to 34,female,LA
2013,25 to 34,female,SF
2014,45 to 54,prefer not to answer,SEA
2015,25 to 34,female,LA
2016,45 to 54,male,SEA
2017,45 to 54,female,NYC
2018,25 to 34,female,HOU
2019,35 to 44,prefer not to answer,HOU
2020,18 to 24,male,SEA
2021,35 to 44,male,LA
2022,35 to 44,non-binary,DC
2023,18 to 24,female,SF
2024,25 to 34,female,DC
2025,35 to 44,female,LA
2026,45 to 54,male,DC
2027,35 to 44,female,LA
2028,45 to 54,prefer not to answer,LA
2029,25 to 34,prefer not to answer,SF
2030,25 to 34,female,None of above
2031,35 to 44,female,None of above
2032,35 to 44,female,NYC
2033,35 to 44,male,SEA
2034,25 to 34,female,SEA
2035,25 to 34,female,PHL
2036,35 to 44,female,SF
2037,55+,male,LA
2038,25 to 34,prefer not to answer,SEA
2039,25 to 34,prefer not to answer,LA
2040,18 to 24,male,None of above
2041,35 to 44,female,None of above
2042,25 to 34,female,DC
2043,35 to 44,female,SF
2044,35 to 44,male,DC
2045,18 to 24,male,LA
2046,25 to 34,male,None of above
2047,25 to 34,male,SF
2048,35 to 44,female,LA
2049,25 to 34,non-binary,LA
2050,25 to 34,male,LA
2051,35 to 44,female,SF
2052,18 to 24,female,None of above
2053,35 to 44,male,NYC
2054,25 to 34,female,None of above
2055,35 to 44,male,None of above
2056,18 to 24,male,LA
2057,25 to 34,male,DC
2058,25 to 34,prefer not to answer,SF
2059,35 to 44,male,DC
2060,25 to 34,female,SF
2061,18 to 24,female,SF
2062,35 to 44,prefer not to answer,NYC
2063,25 to 34,female,LA
2064,45 to 54,male,SF
2065,18 to 24,male,SF
2066,18 to 24,female,LA
2067,18 to 24,prefer not to answer,LA
2068,55+,prefer not to answer,None of above
2069,25 to 34,non-binary,LA
2070,35 to 44,female,LA
2071,35 to 44,female,SEA
2072,35 to 44,prefer not to answer,SF
2073,35 to 44,male,DC
2074,25 to 34,female,SF
2075,25 to 34,female,SF
2076,25 to 34,female,SF
2077,18 to 24,female,NYC
2078,25 to 34,female,SF
2079,25 to 34,female,None of above
2080,18 to 24,male,PHL
2081,35 to 44,female,None of above
2082,25 to 34,female,LA
2083,25 to 34,male,LA
2084,25 to 34,male,SF
2085,35 to 44,female,None of above
2086,45 to 54,female,SEA
2087,35 to 44,female,NYC
2088,18 to 24,female,LA
2089,18 to 24,female,SF
2090,25 to 34,prefer not to answer,LA
2091,18 to 24,non-binary,PHL
2092,18 to 24,male,SF
2093,25 to 34,female,SEA
2094,25 to 34,male,SF
2095,18 to 24,female,NYC
2096,25 to 34,male,NYC
2097,25 to 34,male,SEA
2098,35 to 44,female,NYC
2099,25 to 34,female,ATL
2100,18 to 24,female,SF
2101,35 to 44,female,SF
2102,18 to 24,female,LA
2103,25 to 34,male,SF
2104,25 to 34,prefer not to answer,LA
2105,25 to 34,female,SEA
2106,35 to 44,male,SF
2107,18 to 24,male,LA
2108,35 to 44,female,LA
2109,25 to 34,male,LA
2110,25 to 34,non-binary,LA
2111,25 to 34,female,None of above
2112,18 to 24,female,LA
2113,25 to 34,female,DC
2114,55+,female,None of above
2115,25 to 34,prefer not to answer,SEA
2116,25 to 34,non-binary,SF
2117,25 to 34,prefer not to answer,PHL
2118,25 to 34,female,HOU
2119,25 to 34,prefer not to answer,SF
2120,25 to 34,female,PHL
2121,45 to 54,female,LA
2122,35 to 44,female,None of above
2123,45 to 54,female,None of above
2124,18 to 24,prefer not to answer,SF
2125,25 to 34,female,None of above
2126,35 to 44,female,LA
2127,18 to 24,female,None of above
2128,25 to 34,female,SEA
2129,18 to 24,male,SEA
2130,35 to 44,prefer not to answer,SF
2131,25 to 34,female,NYC
2132,18 to 24,prefer not to answer,NYC
2133,35 to 44,prefer not to answer,SF
2134,18 to 24,male,SEA
2135,35 to 44,female,HOU
2136,45 to 54,female,SEA
2137,25 to 34,female,None of above
2138,18 to 24,prefer not to answer,SF
2139,35 to 44,prefer not to answer,LA
2140,35 to 44,female,SEA
2141,35 to 44,male,None of above
2142,35 to 44,female,SEA
2143,45 to 54,prefer not to answer,DC
2144,25 to 34,female,SF
2145,25 to 34,female,LA
2146,45 to 54,male,LA
2147,55+,male,LA
2148,35 to 44,female,NYC
2149,25 to 34,female,NYC
2150,45 to 54,female,None of above
2151,45 to 54,female,DC
2152,18 to 24,female,HOU
2153,25 to 34,prefer not to answer,LA
2154,18 to 24,female,SF
2155,35 to 44,female,SF
2156,25 to 34,female,SF
2157,35 to 44,female,BOS
2158,35 to 44,male,LA
2159,18 to 24,female,LA
2160,35 to 44,male,None of above
2161,35 to 44,female,LA
2162,35 to 44,female,PHL
2163,35 to 44,male,SF
2164,25 to 34,female,PHL
2165,45 to 54,female,LA
2166,25 to 34,female,None of above
2167,25 to 34,prefer not to answer,SF
2168,25 to 34,male,None of above
2169,35 to 44,female,SEA
2170,45 to 54,male,SF
2171,35 to 44,female,None of above
2172,25 to 34,female,SF
2173,25 to 34,prefer not to answer,SF
2174,25 to 34,female,HOU
2175,35 to 44,male,SF
2176,25 to 34,female,SF
2177,35 to 44,female,DC
2178,18 to 24,prefer not to answer,SEA
2179,25 to 34,female,DC
2180,25 to 34,prefer not to answer,DC
2181,25 to 34,female,SF
2182,35 to 44,female,DC
2183,25 to 34,female,SEA
2184,18 to 24,female,SEA
2185,35 to 44,male,PHL
2186,55+,female,None of above
2187,35 to 44,male,BOS
2188,35 to 44,female,LA
2189,35 to 44,female,SF
2190,35 to 44,male,SEA
2191,25 to 34,prefer not to answer,DC
2192,45 to 54,female,None of above
2193,25 to 34,female,None of above
2194,25 to 34,female,LA
2195,25 to 34,male,None of above
2196,25 to 34,female,NYC
2197,25 to 34,female,DC
2198,25 to 34,non-binary,None of above
2199,35 to 44,female,SF
2200,25 to 34,female,BOS
2201,25 to 34,female,BOS
2202,35 to 44,non-binary,LA
2203,25 to 34,male,LA
2204,35 to 44,male,LA
2205,35 to 44,female,HOU
2206,25 to 34,female,HOU
2207,25 to 34,female,LA
2208,45 to 54,female,LA
2209,25 to 34,female,HOU
2210,18 to 24,female,SF
2211,35 to 44,male,SEA
2212,35 to 44,prefer not to answer,LA
2213,18 to 24,female,None of above
2214,25 to 34,female,DC
2215,35 to 44,female,DC
2216,25 to 34,male,SF
2217,35 to 44,female,LA
2218,25 to 34,prefer not to answer,LA
2219,25 to 34,male,HOU
2220,45 to 54,prefer not to answer,SEA
2221,25 to 34,male,DC
2222,35 to 44,prefer not to answer,None of above
2223,25 to 34,female,SEA
2224,25 to 34,female,LA
2225,25 to 34,female,None of above
2226,25 to 34,female,DC
2227,35 to 44,female,SF
2228,35 to 44,female,LA
2229,25 to 34,female,CHI
2230,45 to 54,female,SF
2231,25 to 34,female,SF
2232,35 to 44,male,LA
2233,45 to 54,prefer not to answer,SF
2234,45 to 54,female,None of above
2235,25 to 34,female,LA
2236,35 to 44,female,LA
2237,25 to 34,male,DC
2238,25 to 34,male,ATL
2239,35 to 44,male,DC
2240,25 to 34,prefer not to answer,SF
2241,45 to 54,prefer not to answer,SEA
2242,25 to 34,male,NYC
2243,25 to 34,female,SEA
2244,25 to 34,female,BOS
2245,35 to 44,male,LA
2246,25 to 34,female,DC
2247,35 to 44,non-binary,CHI
2248,25 to 34,prefer not to answer,DC
2249,45 to 54,female,DC
2250,45 to 54,male,ATL
2251,35 to 44,prefer not to answer,SF
2252,25 to 34,male,LA
2253,25 to 34,female,DC
2254,35 to 44,female,LA
2255,35 to 44,prefer not to answer,NYC
2256,35 to 44,female,CHI
2257,25 to 34,female,SF
2258,25 to 34,prefer not to answer,NYC
2259,35 to 44,male,SF
2260,35 to 44,female,LA
2261,18 to 24,male,LA
2262,35 to 44,female,DC
2263,35 to 44,female,LA
2264,35 to 44,prefer not to answer,DC
2265,25 to 34,female,None of above
2266,25 to 34,female,HOU
2267,18 to 24,female,SEA
2268,35 to 44,female,LA
2269,35 to 44,female,None of above
2270,25 to 34,female,DC
2271,35 to 44,female,DC
2272,35 to 44,male,DC
2273,25 to 34,female,SF
2274,25 to 34,prefer not to answer,SEA
2275,25 to 34,female,SF
2276,45 to 54,male,LA
2277,35 to 44,male,LA
2278,25 to 34,female,None of above
2279,25 to 34,female,DC
2280,25 to 34,female,DC
2281,25 to 34,prefer not to answer,SF
2282,35 to 44,prefer not to answer,LA
2283,25 to 34,male,SEA
2284,35 to 44,female,NYC
2285,25 to 34,female,SEA
2286,25 to 34,female,ATL
2287,25 to 34,male,SF
2288,18 to 24,male,SF
2289,18 to 24,female,LA
2290,35 to 44,male,DC
2291,45 to 54,female,SF
2292,35 to 44,male,DC
2293,18 to 24,prefer not to answer,LA
2294,25 to 34,male,SEA
2295,35 to 44,female,LA
2296,18 to 24,male,SEA
2297,35 to 44,prefer not to answer,SEA
2298,35 to 44,female,NYC
2299,25 to 34,female,SEA
2300,35 to 44,female,DC
2301,35 to 44,female,None of above
2302,35 to 44,male,HOU
2303,25 to 34,female,SF
2304,35 to 44,male,SF
2305,35 to 44,female,NYC
2306,35 to 44,male,NYC
2307,35 to 44,male,SF
2308,35 to 44,male,None of above
2309,25 to 34,female,CHI
2310,18 to 24,prefer not to answer,None of above
2311,25 to 34,male,SF
2312,25 to 34,female,SF
2313,35 to 44,female,None of above
2314,35 to 44,prefer not to answer,DC
2315,18 to 24,female,None of above
2316,35 to 44,male,DC
2317,25 to 34,male,LA
2318,18 to 24,female,NYC
2319,25 to 34,female,DC
2320,18 to 24,female,SF
2321,35 to 44,female,None of above
2322,35 to 44,female,BOS
2323,25 to 34,female,SF
2324,25 to 34,male,SF
2325,35 to 44,prefer not to answer,None of above
2326,35 to 44,prefer not to answer,BOS
2327,35 to 44,prefer not to answer,LA
2328,45 to 54,female,SF
2329,45 to 54,prefer not to answer,None of above
2330,25 to 34,female,NYC
2331,35 to 44,female,None of above
2332,25 to 34,female,SEA
2333,35 to 44,female,SF
2334,35 to 44,male,SEA
2335,45 to 54,female,LA
2336,25 to 34,male,SF
2337,35 to 44,male,NYC
2338,35 to 44,female,CHI
2339,25 to 34,female,LA
2340,25 to 34,female,SF
2341,25 to 34,female,SEA
2342,35 to 44,female,LA
2343,35 to 44,female,SF
2344,25 to 34,female,SF
2345,35 to 44,male,DC
2346,18 to 24,female,LA
2347,25 to 34,male,None of above
2348,18 to 24,female,DC
2349,35 to 44,female,LA
2350,25 to 34,male,NYC
2351,35 to 44,female,None of above
2352,25 to 34,female,ATL
2353,25 to 34,female,HOU
2354,18 to 24,male,SF
2355,25 to 34,male,None of above
2356,25 to 34,prefer not to answer,SF
2357,45 to 54,male,DC
2358,45 to 54,prefer not to answer,LA
2359,25 to 34,prefer not to answer,SF
2360,25 to 34,female,DC
2361,35 to 44,male,SF
2362,45 to 54,female,LA
2363,25 to 34,prefer not to answer,SEA
2364,55+,male,BOS
2365,25 to 34,male,SF
2366,35 to 44,male,NYC
2367,35 to 44,male,LA
2368,25 to 34,female,None of above
2369,25 to 34,male,DC
2370,35 to 44,female,SEA
2371,35 to 44,male,DC
2372,35 to 44,male,None of above
2373,25 to 34,female,HOU
2374,25 to 34,male,LA
2375,25 to 34,male,SEA
2376,35 to 44,male,LA
2377,25 to 34,non-binary,NYC
2378,45 to 54,female,SF
2379,45 to 54,female,NYC
2380,18 to 24,female,SEA
2381,35 to 44,female,LA
2382,35 to 44,female,SF
2383,25 to 34,prefer not to answer,LA
2384,55+,female,DC
2385,18 to 24,prefer not to answer,SF
2386,18 to 24,female,HOU
2387,35 to 44,male,SF
2388,18 to 24,prefer not to answer,ATL
2389,35 to 44,prefer not to answer,LA
2390,35 to 44,female,HOU
2391,18 to 24,male,None of above
2392,25 to 34,female,LA
2393,35 to 44,female,NYC
2394,35 to 44,female,SEA
2395,25 to 34,female,None of above
2396,18 to 24,female,SF
2397,25 to 34,female,SF
2398,25 to 34,female,DC
2399,55+,female,NYC
2400,35 to 44,female,NYC
2401,35 to 44,male,LA
2402,25 to 34,female,ATL
2403,25 to 34,male,NYC
2404,25 to 34,male,DC
2405,25 to 34,prefer not to answer,SEA
2406,25 to 34,female,LA
2407,55+,male,LA
2408,55+,female,None of above
2409,45 to 54,female,LA
2410,18 to 24,male,HOU
2411,25 to 34,female,LA
2412,18 to 24,female,SEA
2413,45 to 54,male,DC
2414,18 to 24,male,LA
2415,18 to 24,female,LA
2416,25 to 34,prefer not to answer,CHI
2417,45 to 54,female,ATL
2418,25 to 34,prefer not to answer,SF
2419,45 to 54,prefer not to answer,LA
2420,18 to 24,male,None of above
2421,55+,male,LA
2422,35 to 44,male,LA
2423,35 to 44,female,SF
2424,35 to 44,prefer not to answer,NYC
2425,35 to 44,female,None of above
2426,25 to 34,male,DC
2427,25 to 34,male,SF
2428,25 to 34,female,SEA
2429,35 to 44,male,SF
2430,35 to 44,female,HOU
2431,35 to 44,male,SEA
2432,25 to 34,non-binary,LA
2433,35 to 44,male,None of above
2434,35 to 44,female,DC
2435,35 to 44,female,LA
2436,35 to 44,female,BOS
2437,45 to 54,male,LA
2438,25 to 34,male,SF
2439,25 to 34,female,LA
2440,35 to 44,female,SF
2441,18 to 24,female,LA
2442,35 to 44,female,HOU
2443,25 to 34,non-binary,DC
2444,35 to 44,prefer not to answer,LA
2445,25 to 34,male,SEA
2446,25 to 34,female,NYC
2447,35 to 44,male,SF
2448,45 to 54,prefer not to answer,None of above
2449,35 to 44,prefer not to answer,SF
2450,25 to 34,female,NYC
2451,35 to 44,female,DC
2452,35 to 44,male,LA
2453,35 to 44,male,CHI
2454,18 to 24,male,NYC
2455,25 to 34,female,SF
2456,25 to 34,female,SF
2457,45 to 54,female,PHL
2458,25 to 34,prefer not to answer,LA
2459,35 to 44,male,BOS
2460,35 to 44,female,LA
2461,25 to 34,male,LA
2462,45 to 54,female,SF
2463,25 to 34,prefer not to answer,SEA
2464,25 to 34,female,HOU
2465,25 to 34,female,None of above
2466,35 to 44,male,LA
2467,45 to 54,male,BOS
2468,55+,female,LA
2469,45 to 54,male,LA
2470,18 to 24,male,HOU
2471,25 to 34,male,DC
2472,35 to 44,male,SF
2473,35 to 44,prefer not to answer,NYC
2474,25 to 34,female,DC
2475,25 to 34,female,NYC
2476,25 to 34,female,SEA
2477,25 to 34,prefer not to answer,NYC
2478,45 to 54,female,LA
2479,18 to 24,female,DC
2480,35 to 44,female,CHI
2481,35 to 44,male,CHI
2482,35 to 44,female,LA
2483,25 to 34,non-binary,LA
2484,25 to 34,female,NYC
2485,25 to 34,female,SF
2486,18 to 24,female,PHL
2487,35 to 44,prefer not to answer,DC
2488,25 to 34,male,NYC
2489,45 to 54,male,DC
2490,18 to 24,female,CHI
2491,45 to 54,male,ATL
2492,18 to 24,female,LA
2493,35 to 44,prefer not to answer,NYC
2494,45 to 54,female,SEA
2495,25 to 34,prefer not to answer,LA
2496,35 to 44,female,NYC
2497,35 to 44,female,SF
2498,25 to 34,female,SF
2499,35 to 44,female,DC
2500,25 to 34,non-binary,BOS
2501,25 to 34,male,SF
2502,25 to 34,male,HOU
2503,35 to 44,male,SF
2504,25 to 34,prefer not to answer,None of above
2505,18 to 24,prefer not to answer,SF
2506,55+,female,SEA
2507,25 to 34,female,DC
2508,35 to 44,female,SF
2509,35 to 44,female,None of above
2510,35 to 44,male,None of above
2511,18 to 24,female,NYC
2512,35 to 44,male,DC
2513,35 to 44,male,SF
2514,25 to 34,male,CHI
2515,18 to 24,female,None of above
2516,25 to 34,male,NYC
2517,25 to 34,male,DC
2518,25 to 34,non-binary,HOU
2519,25 to 34,female,SEA
2520,45 to 54,male,NYC
2521,35 to 44,male,SEA
2522,35 to 44,non-binary,SF
2523,35 to 44,female,DC
2524,35 to 44,female,None of above
2525,35 to 44,female,DC
2526,25 to 34,prefer not to answer,SF
2527,25 to 34,female,SEA
2528,25 to 34,male,None of above
2529,25 to 34,male,DC
2530,25 to 34,prefer not to answer,CHI
2531,25 to 34,male,None of above
2532,18 to 24,male,None of above
2533,18 to 24,male,CHI
2534,35 to 44,female,SF
2535,18 to 24,non-binary,None of above
2536,45 to 54,female,SF
2537,55+,female,NYC
2538,35 to 44,female,HOU
2539,35 to 44,male,LA
2540,25 to 34,female,SEA
2541,25 to 34,male,LA
2542,25 to 34,female,DC
2543,35 to 44,female,NYC
2544,35 to 44,female,NYC
2545,25 to 34,female,NYC
2546,45 to 54,male,None of above
2547,25 to 34,female,HOU
2548,25 to 34,male,LA
2549,45 to 54,female,SF
2550,25 to 34,female,DC
2551,25 to 34,male,DC
2552,35 to 44,female,SF
2553,35 to 44,prefer not to answer,LA
2554,18 to 24,male,None of above
2555,25 to 34,male,SEA
2556,25 to 34,male,SF
2557,35 to 44,prefer not to answer,ATL
2558,35 to 44,female,HOU
2559,35 to 44,male,SF
2560,25 to 34,male,NYC
2561,35 to 44,female,SF
2562,25 to 34,female,HOU
2563,25 to 34,female,SF
2564,25 to 34,prefer not to answer,SF
2565,35 to 44,female,SEA
2566,25 to 34,non-binary,ATL
2567,45 to 54,female,SEA
2568,18 to 24,male,SF
2569,25 to 34,female,SF
2570,35 to 44,non-binary,NYC
2571,35 to 44,prefer not to answer,SF
2572,35 to 44,prefer not to answer,SEA
2573,25 to 34,prefer not to answer,PHL
2574,18 to 24,male,LA
2575,25 to 34,non-binary,DC
2576,25 to 34,prefer not to answer,SF
2577,25 to 34,prefer not to answer,LA
2578,35 to 44,male,LA
2579,25 to 34,female,CHI
2580,35 to 44,prefer not to answer,SF
2581,18 to 24,female,NYC
2582,45 to 54,female,CHI
2583,18 to 24,female,PHL
2584,25 to 34,female,SF
2585,25 to 34,prefer not to answer,DC
2586,35 to 44,prefer not to answer,LA
2587,25 to 34,non-binary,NYC
2588,45 to 54,male,SF
2589,35 to 44,female,NYC
2590,35 to 44,female,None of above
2591,35 to 44,female,LA
2592,35 to 44,male,SF
2593,25 to 34,female,None of above
2594,35 to 44,female,SEA
2595,35 to 44,female,None of above
2596,35 to 44,female,NYC
2597,18 to 24,female,LA
2598,18 to 24,female,None of above
2599,35 to 44,male,None of above
2600,35 to 44,male,LA
2601,35 to 44,prefer not to answer,SF
2602,25 to 34,female,PHL
2603,25 to 34,female,NYC
2604,45 to 54,female,NYC
2605,18 to 24,prefer not to answer,SF
2606,35 to 44,female,PHL
2607,25 to 34,female,SEA
2608,25 to 34,female,SEA
2609,25 to 34,female,SF
2610,25 to 34,female,SF
2611,25 to 34,male,SEA
2612,35 to 44,female,None of above
2613,25 to 34,female,LA
2614,35 to 44,female,SEA
2615,35 to 44,female,None of above
2616,35 to 44,female,NYC
2617,45 to 54,male,DC
2618,35 to 44,female,DC
2619,25 to 34,female,ATL
2620,35 to 44,male,HOU
2621,25 to 34,female,HOU
2622,35 to 44,male,None of above
2623,25 to 34,female,LA
2624,35 to 44,female,SEA
2625,25 to 34,male,None of above
2626,25 to 34,female,DC
2627,35 to 44,prefer not to answer,SF
2628,25 to 34,male,LA
2629,25 to 34,prefer not to answer,BOS
2630,35 to 44,male,LA
2631,35 to 44,male,None of above
2632,18 to 24,female,DC
2633,35 to 44,female,None of above
2634,25 to 34,female,DC
2635,35 to 44,female,SF
2636,25 to 34,female,ATL
2637,25 to 34,male,LA
2638,35 to 44,female,HOU
2639,25 to 34,male,SEA
2640,25 to 34,male,DC
2641,45 to 54,female,SEA
2642,45 to 54,female,NYC
2643,25 to 34,male,LA
2644,35 to 44,female,SEA
2645,35 to 44,female,LA
2646,35 to 44,prefer not to answer,PHL
2647,25 to 34,prefer not to answer,DC
2648,35 to 44,prefer not to answer,NYC
2649,25 to 34,female,SEA
2650,25 to 34,female,SEA
2651,35 to 44,prefer not to answer,NYC
2652,45 to 54,male,SF
2653,18 to 24,female,DC
2654,35 to 44,female,None of above
2655,25 to 34,male,SEA
2656,18 to 24,male,LA
2657,45 to 54,female,LA
2658,45 to 54,female,HOU
2659,25 to 34,female,NYC
2660,18 to 24,prefer not to answer,None of above
2661,25 to 34,female,NYC
2662,25 to 34,prefer not to answer,SEA
2663,45 to 54,male,LA
2664,35 to 44,female,SF
2665,35 to 44,female,SF
2666,35 to 44,female,LA
2667,25 to 34,male,SEA
2668,25 to 34,female,PHL
2669,18 to 24,male,PHL
2670,35 to 44,female,DC
2671,18 to 24,female,None of above
2672,35 to 44,male,None of above
2673,18 to 24,female,None of above
2674,35 to 44,prefer not to answer,SF
2675,45 to 54,male,None of above
2676,25 to 34,prefer not to answer,PHL
2677,35 to 44,male,None of above
2678,35 to 44,male,SEA
2679,35 to 44,female,None of above
2680,45 to 54,male,LA
2681,25 to 34,female,LA
2682,25 to 34,prefer not to answer,None of above
2683,25 to 34,female,SEA
2684,18 to 24,male,None of above
2685,25 to 34,female,SF
2686,18 to 24,prefer not to answer,CHI
2687,45 to 54,male,SF
2688,25 to 34,female,SF
2689,35 to 44,prefer not to answer,BOS
2690,25 to 34,female,HOU
2691,35 to 44,prefer not to answer,SF
2692,45 to 54,female,SEA
2693,25 to 34,female,SF
2694,25 to 34,female,SF
2695,25 to 34,female,SF
2696,35 to 44,male,DC
2697,25 to 34,female,None of above
2698,25 to 34,female,LA
2699,25 to 34,female,None of above
2700,25 to 34,prefer not to answer,NYC
2701,25 to 34,female,None of above
2702,25 to 34,prefer not to answer,SEA
2703,25 to 34,prefer not to answer,DC
2704,25 to 34,prefer not to answer,LA
2705,25 to 34,prefer not to answer,SF
2706,25 to 34,female,NYC
2707,25 to 34,female,SF
2708,25 to 34,female,PHL
2709,55+,female,SF
2710,25 to 34,female,LA
2711,35 to 44,female,PHL
2712,25 to 34,female,LA
2713,25 to 34,non-binary,DC
2714,25 to 34,prefer not to answer,SEA
2715,25 to 34,male,DC
2716,45 to 54,non-binary,LA
2717,35 to 44,prefer not to answer,DC
2718,45 to 54,female,None of above
2719,35 to 44,female,PHL
2720,25 to 34,prefer not to answer,None of above
2721,25 to 34,female,LA
2722,25 to 34,non-binary,SF
2723,25 to 34,female,SEA
2724,25 to 34,female,BOS
2725,25 to 34,male,LA
2726,25 to 34,male,None of above
2727,18 to 24,female,LA
2728,18 to 24,female,LA
2729,25 to 34,male,SEA
2730,35 to 44,female,SEA
2731,25 to 34,male,LA
2732,35 to 44,female,ATL
2733,25 to 34,male,NYC
2734,35 to 44,prefer not to answer,HOU
2735,35 to 44,male,None of above
2736,18 to 24,male,SF
2737,18 to 24,female,None of above
2738,25 to 34,male,SF
2739,25 to 34,female,SF
2740,25 to 34,female,SEA
2741,35 to 44,male,SF
2742,35 to 44,prefer not to answer,LA
2743,25 to 34,male,None of above
2744,25 to 34,prefer not to answer,None of above
2745,35 to 44,male,None of above
2746,35 to 44,male,LA
2747,45 to 54,male,LA
2748,25 to 34,male,SF
2749,55+,female,NYC
2750,35 to 44,male,SEA
2751,25 to 34,female,PHL
2752,25 to 34,female,NYC
2753,18 to 24,male,LA
2754,18 to 24,female,SF
2755,25 to 34,female,SF
2756,45 to 54,female,None of above
2757,18 to 24,female,SEA
2758,35 to 44,male,DC
2759,18 to 24,male,None of above
2760,18 to 24,male,DC
2761,25 to 34,prefer not to answer,SEA
2762,45 to 54,female,BOS
2763,25 to 34,female,SF
2764,18 to 24,male,LA
2765,35 to 44,female,SF
2766,25 to 34,prefer not to answer,LA
2767,18 to 24,prefer not to answer,None of above
2768,18 to 24,male,HOU
2769,25 to 34,male,CHI
2770,45 to 54,male,SF
2771,35 to 44,female,DC
2772,25 to 34,female,LA
2773,45 to 54,female,SF
2774,45 to 54,female,LA
2775,35 to 44,female,DC
2776,25 to 34,female,SF
2777,45 to 54,female,HOU
2778,35 to 44,female,LA
2779,25 to 34,female,NYC
